Z,symbol,basis_level,external_E_over_h_PHz,mean_envelope_pm,rms_envelope_pm,r90_pm,relaxed_removal_PHz,relaxed_static_chi,frozen_static_chi,basis_chi_difference_percent,spin_squared,orbital_L_squared,specified_2Ms,SCF_gradient,direct_integral_energy_difference_Estar
76,Os,3,-113519.84308152668,32.15763001472097,50.17491571492702,74.7783210810925,1.576720446067276,76.8920841143003,60.78398942228767,0.5318873850036043,6.034912239968676,6.039585179104506,4,6.514737597057903e-07,0.00024065874094958417
77,Ir,3,-117298.09488553743,31.848765609098137,49.22469025799653,74.58994696764694,1.704679141346582,64.11691284087809,54.13486117740414,0.33503863850248283,3.7693534382570704,10.030389963171103,3,4.6630474323762094e-07,0.00035583788121584803
78,Pt,3,-121157.36543890946,31.06004652674818,46.819817884506804,73.5377570648315,1.8298096870109406,53.77217305463186,37.945133813516,0.5160725180256565,2.0043088793982804,6.068211899597145,2,1.9343463814841473e-07,0.00043328181709512137
79,Au,3,-125098.79363757836,30.76264322683612,46.080298581633876,72.88433353951216,1.858278413647414,50.27664187562772,35.38872824260835,0.5619727840868727,0.7528426412429496,-1.1368683772161603e-13,1,1.3776071354827013e-06,0.0005414246188593097
80,Hg,3,-129122.8073540231,30.903801714299277,46.65865937718079,72.88248475237582,2.053678361575979,45.00341869185087,40.921588200064654,0.3272728686890103,-7.105427357601002e-14,-2.2737367544323206e-13,0,1.4559832676417443e-07,0.0007468861113011371
81,Tl,3,-133229.1832212911,31.58837009820252,49.61586208523662,72.95762092821477,1.206564477909995,78.11121289305551,52.15290883959647,-0.9683766625137813,0.7593077153804728,2.0258308950655532,1,2.5235268371455964e-07,0.0015828992873139214
82,Pb,3,-137419.72343331305,31.859120455962508,50.22346335789271,73.34433128976158,1.589646738849356,62.572875863530726,46.58812915612443,-0.8469860964153919,2.010534921837049,2.0211859253629427,2,3.337370041564131e-07,0.0005850832712894771
83,Bi,3,-141695.6955684925,31.97184840726856,50.214409055409924,74.07212478683414,1.987845664914303,49.889300460345645,40.87415510872681,-0.9355667080024999,3.7565757580427714,-2.8421709430404007e-13,3,2.5204745421312795e-07,-0.0005394744621298742
84,Po,3,-146057.7121896727,32.11021190863733,50.41728230838981,75.14797845963494,1.7580357207516184,44.552840008461025,39.34016825960364,-0.2204301215037563,2.0117469523219,2.046072865933411,2,7.47060007043682e-07,-0.000748897062294418
85,At,3,-150507.5779818773,32.13534547989682,50.20824497267022,76.57500280194846,2.1710496050462127,38.2215881617137,36.12861338158789,-0.11153974107890319,0.7595202876354605,2.043268691535957,1,8.985975070884662e-07,-1.9691149645950645e-05
86,Rn,3,-155046.50427042952,32.0940739148084,49.81567710693276,78.22611720159462,2.600181909707627,32.77668452602207,32.91685059556988,-0.09366504411933985,0.0,-1.1368683772161603e-13,0,3.9575812340096e-07,0.0007659698167117313
87,Fr,3,-159673.94757638525,33.84064916051916,58.421193794917315,79.87491987486672,0.865374142148862,527.1624417681429,188.63576946369926,0.289058076446258,0.7511766899961287,1.1368683772161603e-13,1,1.001923802322502e-06,-0.00033495366369606927
88,Ra,3,-164391.9377721632,34.749800981526455,60.94554529304656,81.47409318419054,1.0471920994882835,298.92661130566984,205.7354112506872,0.061721642883494354,-3.552713678800501e-14,2.2737367544323206e-13,0,7.079336187165694e-07,0.003396869677089853
89,Ac,3,-169201.73627239,34.83061057465941,60.07227752656592,83.29445936871635,1.0811822803267888,351.231216689655,168.71673801386302,0.11257299706524115,1.0410695128832117,7.02504266706967,1,2.881701681212254e-07,0.00013362949539441615
90,Th,3,-174105.32398234974,34.85219092426183,59.36013018509344,85.0646777736535,1.1987640030924667,202.75288075429503,148.8954099321436,0.1495440992457686,2.209976990338049,10.42967486888142,2,9.584161204529964e-07,-0.0013163371440896299
91,Pa,3,-179104.95310163582,34.20446786528819,57.99286948581424,82.4180953417134,1.188945630369119,,145.4202782808919,,4.039351349012996,30.366960842747005,3,1.08774325411689e-06,0.000554370490135625
92,U,3,-184203.13662860967,33.88729309631781,57.140047210031874,81.44786908323807,1.196004230170174,237.56676221909797,139.3874174973498,-0.15512627981754123,6.257837184198813,34.89306027558848,4,1.049731511596701e-06,0.0013428904821921606
93,Np,3,-189401.82282784575,33.574217099681256,56.38362731896326,80.28548214935807,1.201039089631182,218.96940916894218,136.42270549381894,-0.07492948009786282,8.945506844423676,40.64519558779034,5,1.349555031442938e-06,0.0005741457971453201
94,Pu,3,-194702.20378077758,32.97437114694158,55.46954735094155,77.70037867391167,1.1460932730394748,210.80248376938542,149.96720251401706,-0.29291270533509106,12.01374934407795,12.04036372872207,6,1.2030785030516807e-06,0.005941641105891904
95,Am,3,-200107.1522290668,32.63371226972369,54.64008028721389,76.50192232443241,1.1588093103826025,201.63470845073198,143.55593151095312,-0.3365503982502349,15.76698346848827,-5.684341886080802e-14,7,4.336508320307131e-07,0.006559074136021081
96,Cm,3,-205617.27862191893,32.58648224639552,54.01615656363738,76.6270126489453,1.2378489580124148,183.10898653203455,121.56895092701639,0.2680246173310197,20.124445316619315,6.392467912069492,8,3.226568030814628e-07,0.0023060376406647265
97,Bk,3,-211234.57028394283,32.28921780004658,53.31522369352069,75.48275192192618,1.1257639518941156,185.89808638408786,116.84434395584036,-0.30481066858037975,15.871500690050937,18.44225293232546,7,1.1650960944867787e-06,0.007960434344568057
