Z,symbol,name,A,depth,pattern,ratio,depth_fraction
69,Tm,Thulium,169,100,69,1.4492753623188405797101449275362318840579710144927536231884057971014492753623188,0.59171597633136094674556213017751479289940828402366863905325443786982248520710059
70,Yb,Ytterbium,173,103,70,1.4714285714285714285714285714285714285714285714285714285714285714285714285714286,0.59537572254335260115606936416184971098265895953757225433526011560693641618497110
71,Lu,Lutetium,175,104,71,1.4647887323943661971830985915492957746478873239436619718309859154929577464788732,0.59428571428571428571428571428571428571428571428571428571428571428571428571428571
72,Hf,Hafnium,178,106,72,1.4722222222222222222222222222222222222222222222222222222222222222222222222222222,0.59550561797752808988764044943820224719101123595505617977528089887640449438202247
73,Ta,Tantalum,181,108,73,1.4794520547945205479452054794520547945205479452054794520547945205479452054794521,0.59668508287292817679558011049723756906077348066298342541436464088397790055248619
74,W,Tungsten,184,110,74,1.4864864864864864864864864864864864864864864864864864864864864864864864864864865,0.59782608695652173913043478260869565217391304347826086956521739130434782608695652
75,Re,Rhenium,186,111,75,1.48,0.59677419354838709677419354838709677419354838709677419354838709677419354838709677
76,Os,Osmium,190,114,76,1.5,0.6
77,Ir,Iridium,192,115,77,1.4935064935064935064935064935064935064935064935064935064935064935064935064935065,0.59895833333333333333333333333333333333333333333333333333333333333333333333333333
78,Pt,Platinum,195,117,78,1.5,0.6
79,Au,Gold,197,118,79,1.4936708860759493670886075949367088607594936708860759493670886075949367088607595,0.59898477157360406091370558375634517766497461928934010152284263959390862944162437
80,Hg,Mercury,201,121,80,1.5125,0.60199004975124378109452736318407960199004975124378109452736318407960199004975124
81,Tl,Thallium,204,123,81,1.5185185185185185185185185185185185185185185185185185185185185185185185185185185,0.60294117647058823529411764705882352941176470588235294117647058823529411764705882
82,Pb,Lead,207,125,82,1.5243902439024390243902439024390243902439024390243902439024390243902439024390244,0.60386473429951690821256038647342995169082125603864734299516908212560386473429952
83,Bi,Bismuth,209,126,83,1.5180722891566265060240963855421686746987951807228915662650602409638554216867470,0.60287081339712918660287081339712918660287081339712918660287081339712918660287081
84,Po,Polonium,209,125,84,1.4880952380952380952380952380952380952380952380952380952380952380952380952380952,0.59808612440191387559808612440191387559808612440191387559808612440191387559808612
85,At,Astatine,210,125,85,1.4705882352941176470588235294117647058823529411764705882352941176470588235294118,0.59523809523809523809523809523809523809523809523809523809523809523809523809523810
86,Rn,Radon,222,136,86,1.5813953488372093023255813953488372093023255813953488372093023255813953488372093,0.61261261261261261261261261261261261261261261261261261261261261261261261261261261
87,Fr,Francium,223,136,87,1.5632183908045977011494252873563218390804597701149425287356321839080459770114943,0.60986547085201793721973094170403587443946188340807174887892376681614349775784753
88,Ra,Radium,226,138,88,1.5681818181818181818181818181818181818181818181818181818181818181818181818181818,0.61061946902654867256637168141592920353982300884955752212389380530973451327433628
89,Ac,Actinium,227,138,89,1.5505617977528089887640449438202247191011235955056179775280898876404494382022472,0.60792951541850220264317180616740088105726872246696035242290748898678414096916300
90,Th,Thorium,232,142,90,1.5777777777777777777777777777777777777777777777777777777777777777777777777777778,0.61206896551724137931034482758620689655172413793103448275862068965517241379310345
